specimen_collection_date,new_cases,cumulative_cases,data_as_of,data_loaded_at
07/06/2021 12:00:00 AM,70,37385,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/09/2021 12:00:00 AM,88,37662,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/12/2021 12:00:00 AM,110,37897,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/15/2021 12:00:00 AM,176,38322,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/18/2021 12:00:00 AM,70,38630,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/21/2021 12:00:00 AM,253,39316,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/24/2021 12:00:00 AM,150,39930,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/27/2021 12:00:00 AM,350,40671,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
07/30/2021 12:00:00 AM,267,41786,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/02/2021 12:00:00 AM,357,42497,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/05/2021 12:00:00 AM,299,43461,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/08/2021 12:00:00 AM,134,44005,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/11/2021 12:00:00 AM,268,44806,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/14/2021 12:00:00 AM,122,45382,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/17/2021 12:00:00 AM,217,45950,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/20/2021 12:00:00 AM,158,46528,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/23/2021 12:00:00 AM,184,46877,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/26/2021 12:00:00 AM,169,47394,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
08/29/2021 12:00:00 AM,71,47668,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/01/2021 12:00:00 AM,145,48101,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/04/2021 12:00:00 AM,64,48386,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/07/2021 12:00:00 AM,149,48660,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/10/2021 12:00:00 AM,120,49076,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/13/2021 12:00:00 AM,124,49316,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/16/2021 12:00:00 AM,123,49704,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/19/2021 12:00:00 AM,64,49934,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/22/2021 12:00:00 AM,105,50228,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/25/2021 12:00:00 AM,47,50450,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
09/28/2021 12:00:00 AM,75,50684,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
10/01/2021 12:00:00 AM,95,51008,05/05/2023 04:30:00 AM,05/05/2023 07:00:12 AM
